vid,match_id,stage,player1ringname,player1rank,player1character,player2ringname,player2rank,player2character,round_num,player1_rounds_won,p1ko,p1ro,p1ex,player2_rounds_won,p2ko,p2ro,p2ex,round_end_time
25oe8mwSZsw,3863,ea91fb69-90e3-41be-b869-15b4a694a9b3,Sumo Ring,n/a,40,Goh,n/a,42,Jean,4,3,1,0,0,1,0,0,0,28.60
26RwZyKhc0Q,60,a5774d3b-5a54-4f7c-ac3e-1f64d0ffc91a,City,n/a,0,Jean,n/a,0,Brad,0,0,0,0,0,0,0,0,0,n/a
26RwZyKhc0Q,2486,a5774d3b-5a54-4f7c-ac3e-1f64d0ffc91a,City,n/a,41,Jean,n/a,42,Brad,1,1,1,0,0,0,0,0,0,12.06
26RwZyKhc0Q,3442,a5774d3b-5a54-4f7c-ac3e-1f64d0ffc91a,City,n/a,41,Jean,n/a,42,Brad,2,2,1,0,0,0,0,0,0,2.76
26RwZyKhc0Q,4127,a5774d3b-5a54-4f7c-ac3e-1f64d0ffc91a,City,n/a,41,Jean,n/a,42,Brad,3,2,0,0,0,1,1,0,0,31.76
26RwZyKhc0Q,5091,a5774d3b-5a54-4f7c-ac3e-1f64d0ffc91a,City,n/a,41,Jean,n/a,42,Brad,4,3,1,0,0,1,0,0,0,22.00
2AUsTF0eSgE,62,69065feb-6963-4282-8ca9-47539f47f2d1,Waterfalls,n/a,0,Jacky,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
2AUsTF0eSgE,1480,69065feb-6963-4282-8ca9-47539f47f2d1,Waterfalls,n/a,41,Jacky,n/a,41,Jean,1,1,1,0,0,0,0,0,0,20.66
2AUsTF0eSgE,2308,69065feb-6963-4282-8ca9-47539f47f2d1,Waterfalls,n/a,41,Jacky,n/a,41,Jean,2,1,0,0,0,1,1,0,0,27.00
2AUsTF0eSgE,3477,69065feb-6963-4282-8ca9-47539f47f2d1,Waterfalls,n/a,41,Jacky,n/a,41,Jean,3,1,0,0,0,2,1,0,0,15.64
